Date,si_news
2019-11-19,0.0
2019-11-20,0.222
2019-11-21,0.111
2019-11-22,0.125
2019-11-23,0.5
2019-11-24,0.0
2019-11-25,0.111
2019-11-26,0.0
2019-11-27,-0.083
2019-11-28,-0.091
2019-11-29,0.125
2019-12-02,-0.071
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,-0.25
2019-12-16,0.333
2019-12-17,0.214
2019-12-18,0.0
2019-12-19,0.12
2019-12-20,0.125
2019-12-22,0.0
2019-12-23,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-30,0.0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,0.0
2020-01-07,-0.167
2020-01-14,0.0
2020-01-15,-0.077
2020-01-16,0.0
2020-01-17,0.125
2020-01-20,0.0
2020-01-21,0.111
2020-01-29,0.0
2020-01-30,0.048
2020-01-31,0.222
2020-02-03,0.0
2020-02-04,0.267
2020-02-05,0.083
2020-02-06,0.143
2020-02-07,0.273
2020-02-10,-0.25
2020-02-17,-0.3
2020-02-18,0.071
2020-02-19,0.375
2020-02-20,0.154
2020-02-21,0.167
2020-02-24,0.0
2020-02-25,0.182
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.222
2020-03-02,0.0
2020-03-09,0.5
2020-03-10,0.091
2020-03-11,0.062
2020-03-12,0.0
2020-03-13,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-31,0.133
2020-04-01,0.154
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.062
2020-04-07,0.083
2020-04-08,0.167
2020-04-09,-0.056
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,-0.167
2020-04-15,0.118
2020-04-16,0.154
2020-04-17,0.0
2020-04-19,-0.5
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.125
2020-04-29,0.083
2020-04-30,-0.069
2020-05-01,0.0
2020-05-03,-0.667
2020-05-04,0.3
2020-05-05,0.0
2020-05-12,0.062
2020-05-13,0.062
2020-05-14,0.111
2020-05-15,0.0
2020-06-24,0.0
2020-06-25,0.031
2020-06-26,0.0
2020-06-28,-1.0
2020-06-29,-0.1
2020-06-30,0.0
2020-07-06,-0.143
2020-07-07,0.083
2020-07-08,0.25
2020-07-09,0.167
2020-07-10,0.125
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.214
2020-07-15,0.077
2020-07-16,0.069
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.067
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.125
2020-07-27,0.0
2020-07-28,-0.111
2020-07-29,0.091
2020-07-30,0.1
2020-07-31,0.111
2020-08-03,-0.125
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.167
2020-08-07,0.111
2020-08-10,0.0
2020-08-11,-0.2
2020-08-12,0.286
2020-08-13,0.0
2020-08-14,0.333
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.154
2020-08-21,-0.167
2020-08-24,0.25
2020-08-25,-0.333
2020-08-26,0.167
2020-08-27,0.0
2020-08-28,0.25
2020-08-31,0.2
2020-09-01,-0.067
2020-09-02,0.167
2020-09-03,0.0
2020-09-04,0.0
2020-09-07,0.1
2020-09-08,0.0
2020-09-09,0.4
2020-09-10,0.0
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,-0.1
2020-09-16,0.143
2020-09-17,0.222
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.333
2020-09-27,0.0
2020-09-28,-0.143
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,-0.118
2020-10-02,0.0
2020-10-04,0.0
2020-10-05,-0.125
2020-10-06,0.059
2020-10-07,0.0
2020-10-08,0.1
2020-10-09,0.0
2020-10-11,-1.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.125
2020-10-15,0.125
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.067
2020-10-29,0.1
2020-10-30,-0.083
2020-10-31,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.143
2020-11-06,0.286
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.182
2020-11-12,-0.143
2020-11-13,0.273
2020-11-16,0.222
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,0.167
2020-11-24,0.2
2020-11-25,0.071
2020-11-26,0.0
2020-11-27,0.2
2020-11-28,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,-0.091
2020-12-04,-0.1
2020-12-06,0.0
2020-12-07,0.222
2020-12-08,0.0
2020-12-09,0.125
2020-12-10,0.211
2020-12-11,-0.143
2020-12-12,0.0
2020-12-14,0.0
2020-12-15,-0.1
2020-12-16,0.133
2020-12-17,0.0
2020-12-18,0.143
2020-12-20,0.0
2020-12-21,0.083
2020-12-22,0.143
2020-12-23,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-04,0.0
2021-01-05,-0.167
2021-01-06,0.2
2021-01-07,0.083
2021-01-08,0.2
2021-01-11,0.286
2021-01-12,0.056
2021-01-13,0.385
2021-01-14,0.167
2021-01-15,0.0
2021-01-18,0.091
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.091
2021-01-22,0.429
2021-01-25,0.0
2021-01-26,0.143
2021-01-27,0.0
2021-01-28,0.188
2021-01-29,-0.111
2021-01-31,0.0
2021-02-01,-0.2
2021-02-02,-0.167
2021-02-03,0.167
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.167
2021-02-11,0.0
2021-02-12,0.0
2021-02-15,0.182
2021-02-16,0.25
2021-02-17,-0.125
2021-02-18,0.182
2021-02-19,0.0
2021-02-22,0.0
2021-02-23,0.222
2021-02-24,0.133
2021-02-25,0.077
2021-02-26,0.0
2021-03-01,0.167
2021-03-02,0.143
2021-03-03,0.143
2021-03-04,0.2
2021-03-05,0.0
2021-03-08,0.0
2021-03-09,0.286
2021-03-10,0.143
2021-03-11,0.0
2021-03-12,0.125
2021-03-14,1.0
2021-03-15,-0.143
2021-03-16,0.059
2021-03-17,0.0
2021-03-18,-0.154
2021-03-19,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.143
2021-03-24,0.062
2021-03-25,0.235
2021-03-26,0.111
2021-03-29,0.6
2021-03-30,0.286
2021-03-31,0.167
2021-04-01,0.0
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.143
2021-04-08,-0.053
2021-04-09,0.0
2021-04-11,0.0
2021-04-12,0.1
2021-04-13,0.067
2021-04-14,0.125
2021-04-15,0.25
2021-04-16,0.333
2021-04-18,0.0
2021-04-19,-0.167
2021-04-20,0.143
2021-04-21,0.429
2021-04-22,0.111
2021-04-23,0.167
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.154
2021-04-29,0.222
2021-04-30,0.2
2021-05-03,0.0
2021-05-04,0.067
2021-05-05,0.25
2021-05-06,0.167
2021-05-07,0.25
2021-05-10,0.125
2021-05-11,0.062
2021-05-12,0.062
2021-05-13,0.0
2021-05-14,0.0
2021-05-17,0.25
2021-05-18,0.0
2021-05-19,0.062
2021-05-20,0.067
2021-05-21,0.286
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.125
2021-05-27,0.154
2021-05-28,0.5
2021-05-30,0.0
2021-05-31,0.4
2021-06-01,0.077
2021-06-02,0.111
2021-06-03,0.0
2021-06-04,0.0
2021-06-07,0.0
2021-06-16,0.125
2021-06-17,0.111
2021-06-18,0.125
2021-06-19,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.25
2021-06-24,0.111
2021-06-25,0.0
2021-06-26,0.0
