Date;Open;High;Low;Close
01/10/2024;2.07700;2.08100;1.98700;2.02700
30/09/2024;2.07800;2.12900;2.04600;2.07100
27/09/2024;2.13200;2.14600;2.06500;2.08700
26/09/2024;2.12100;2.12400;2.07900;2.11200
25/09/2024;2.09800;2.13800;2.09400;2.13400
24/09/2024;2.13900;2.16200;2.08300;2.09300
23/09/2024;2.23300;2.23700;2.13900;2.16600
20/09/2024;2.21300;2.26200;2.20200;2.25300
19/09/2024;2.25700;2.26200;2.20800;2.21500
18/09/2024;2.23000;2.26500;2.22200;2.26300
17/09/2024;2.19500;2.23300;2.15600;2.23100
16/09/2024;2.19400;2.22700;2.18000;2.18300
13/09/2024;2.19600;2.21700;2.17300;2.20600
12/09/2024;2.16100;2.23500;2.15100;2.23000
11/09/2024;2.17400;2.20100;2.12500;2.13400
10/09/2024;2.21500;2.23700;2.19800;2.20100
09/09/2024;2.26500;2.28100;2.20800;2.21700
06/09/2024;2.28800;2.29500;2.21400;2.22900
05/09/2024;2.30200;2.32800;2.27800;2.29600
04/09/2024;2.35700;2.37000;2.30800;2.31500
03/09/2024;2.41200;2.44100;2.35800;2.38000
02/09/2024;2.39900;2.42500;2.39800;2.41800
30/08/2024;2.35500;2.39600;2.34000;2.38400
29/08/2024;2.38600;2.39600;2.32600;2.36400
28/08/2024;2.39900;2.40600;2.37400;2.37900
27/08/2024;2.41200;2.41800;2.38900;2.39800
26/08/2024;2.34600;2.40700;2.34600;2.39500
23/08/2024;2.40300;2.42400;2.36500;2.37200
22/08/2024;2.35800;2.40600;2.33700;2.40200
21/08/2024;2.40100;2.41100;2.36800;2.37100
20/08/2024;2.44900;2.45100;2.40400;2.40600
19/08/2024;2.42200;2.45100;2.40400;2.44400
16/08/2024;2.45100;2.46000;2.40400;2.45100
15/08/2024;2.36000;2.45900;2.35200;2.45500
14/08/2024;2.34400;2.37800;2.33400;2.34700
13/08/2024;2.39300;2.39700;2.33800;2.33900
12/08/2024;2.40300;2.41800;2.38600;2.39600
09/08/2024;2.38600;2.41400;2.37500;2.38000
08/08/2024;2.35900;2.42800;2.33200;2.40100
07/08/2024;2.40900;2.44600;2.37600;2.41400
06/08/2024;2.38600;2.40500;2.30200;2.36200
05/08/2024;2.34400;2.34400;2.15100;2.33700
02/08/2024;2.42700;2.44000;2.32600;2.33700
01/08/2024;2.50400;2.52400;2.45400;2.46300
31/07/2024;2.54900;2.55300;2.51400;2.53300
30/07/2024;2.60500;2.60700;2.55100;2.55900
29/07/2024;2.67300;2.67800;2.63200;2.65000
26/07/2024;2.69900;2.71900;2.65200;2.66700
25/07/2024;2.70900;2.70900;2.63500;2.68000
24/07/2024;2.76600;2.76800;2.71100;2.71200
23/07/2024;2.82300;2.82700;2.76500;2.76600
22/07/2024;2.78700;2.82200;2.77000;2.82200
19/07/2024;2.77900;2.79100;2.74000;2.77800
18/07/2024;2.77900;2.79600;2.73600;2.73600
17/07/2024;2.75700;2.79400;2.74900;2.77700
16/07/2024;2.79800;2.80100;2.74500;2.76700
15/07/2024;2.83300;2.83400;2.78500;2.79300
12/07/2024;2.82200;2.84100;2.80900;2.82100
11/07/2024;2.90800;2.91500;2.79100;2.80000
10/07/2024;2.91000;2.92000;2.88800;2.89900
09/07/2024;2.90800;2.93400;2.90400;2.92800
08/07/2024;2.90500;2.93400;2.88400;2.90800
05/07/2024;2.93200;2.94300;2.89300;2.89300
04/07/2024;2.91500;2.94300;2.91100;2.94300
03/07/2024;2.92000;2.95000;2.89400;2.91300
02/07/2024;2.91500;2.92000;2.88200;2.91200
01/07/2024;2.87400;2.93400;2.87100;2.92200
