Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Consumer Confidence,2001-01-31T00:00:00,16.2,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-02-28T00:00:00,16.5,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-03-31T00:00:00,16.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-04-30T00:00:00,16.6,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-05-31T00:00:00,16.4,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-06-30T00:00:00,15.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-07-31T00:00:00,15.3,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-08-31T00:00:00,13.9,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-09-30T00:00:00,12,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-10-31T00:00:00,11,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-11-30T00:00:00,9.6,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2001-12-31T00:00:00,7.1,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-01-31T00:00:00,3.9,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-02-28T00:00:00,1.2,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-03-31T00:00:00,-1,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-04-30T00:00:00,-2.2,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-05-31T00:00:00,-2.7,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-06-30T00:00:00,-2.7,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-07-31T00:00:00,-2.6,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-08-31T00:00:00,-2.4,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-09-30T00:00:00,-2.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-10-31T00:00:00,-2.7,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-11-30T00:00:00,-2.9,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2002-12-31T00:00:00,-2.9,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-01-31T00:00:00,-3.1,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-02-28T00:00:00,-3.2,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-03-31T00:00:00,-3.5,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-04-30T00:00:00,-2.5,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-05-31T00:00:00,-0.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-06-30T00:00:00,0.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-07-31T00:00:00,2.3,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-08-31T00:00:00,3.3,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-09-30T00:00:00,3.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-10-31T00:00:00,3.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-11-30T00:00:00,3.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2003-12-31T00:00:00,3.9,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2004-01-31T00:00:00,4.1,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2004-02-29T00:00:00,4.4,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2004-03-31T00:00:00,4.8,Monthly,GRCCI,2014-06-25T08:14:00
Germany,Consumer Confidence,2004-04-30T00:00:00,4.7,Monthly,GRCCI,2014-06-25T08:14:00
