Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,ZEW Economic Sentiment Index,1991-12-31T00:00:00,-59,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-01-31T00:00:00,-49.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-02-29T00:00:00,-41.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-03-31T00:00:00,-41.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-04-30T00:00:00,-26.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-05-31T00:00:00,-4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-06-30T00:00:00,3.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-07-31T00:00:00,-5.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-08-31T00:00:00,-36.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-09-30T00:00:00,-32.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-10-31T00:00:00,-53.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-11-30T00:00:00,-59.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1992-12-31T00:00:00,-62.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-01-31T00:00:00,-49.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-02-28T00:00:00,-36.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-03-31T00:00:00,-29.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-04-30T00:00:00,-24.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-05-31T00:00:00,-14,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-06-30T00:00:00,-7.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-07-31T00:00:00,24.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-08-31T00:00:00,26.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-09-30T00:00:00,29.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-10-31T00:00:00,31.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-11-30T00:00:00,19.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1993-12-31T00:00:00,29.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-01-31T00:00:00,37.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-02-28T00:00:00,44,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-03-31T00:00:00,61.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-04-30T00:00:00,78.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-05-31T00:00:00,86.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-06-30T00:00:00,83.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-07-31T00:00:00,80.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-08-31T00:00:00,87.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-09-30T00:00:00,79.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-10-31T00:00:00,74.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-11-30T00:00:00,74.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1994-12-31T00:00:00,75,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-01-31T00:00:00,76.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-02-28T00:00:00,67.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-03-31T00:00:00,30.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-04-30T00:00:00,11.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-05-31T00:00:00,11.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-06-30T00:00:00,6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-07-31T00:00:00,9.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-08-31T00:00:00,14.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-09-30T00:00:00,17.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-10-31T00:00:00,9.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-11-30T00:00:00,-6.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-12-31T00:00:00,-9.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-01-31T00:00:00,8.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-02-29T00:00:00,19.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-03-31T00:00:00,31.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-04-30T00:00:00,44.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-05-31T00:00:00,54.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-06-30T00:00:00,65.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-07-31T00:00:00,66.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-08-31T00:00:00,62.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-09-30T00:00:00,71,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-10-31T00:00:00,76.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-11-30T00:00:00,74.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-12-31T00:00:00,69.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-01-31T00:00:00,70.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-02-28T00:00:00,62.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-03-31T00:00:00,65.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-04-30T00:00:00,73,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
