Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,GDP Constant Prices,1991-03-31T00:00:00,610.41,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1991-06-30T00:00:00,607.737,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1991-09-30T00:00:00,606.616,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1991-12-31T00:00:00,615.154,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1992-03-31T00:00:00,623.842,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1992-06-30T00:00:00,620.048,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1992-09-30T00:00:00,618.409,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1992-12-31T00:00:00,616.598,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1993-03-31T00:00:00,611.769,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1993-06-30T00:00:00,612.027,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1993-09-30T00:00:00,615.477,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1993-12-31T00:00:00,615.046,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1994-03-31T00:00:00,623.605,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1994-06-30T00:00:00,627.227,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,1994-09-30T00:00:00,630.849,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
