Date;Open;High;Low;Close
01/10/2024;2635.75000;2673.02000;2633.91000;2660.34000
30/09/2024;2663.71000;2665.92000;2624.71000;2635.71000
27/09/2024;2672.54000;2674.21000;2643.09000;2658.40000
26/09/2024;2656.39000;2685.49000;2655.00000;2672.58000
25/09/2024;2658.20000;2670.45000;2649.73000;2656.33000
24/09/2024;2626.35000;2664.39000;2622.62000;2658.12000
23/09/2024;2620.22000;2634.85000;2613.91000;2626.33000
20/09/2024;2587.19000;2625.69000;2584.83000;2621.59000
19/09/2024;2559.27000;2594.89000;2551.09000;2587.21000
18/09/2024;2574.01000;2600.14000;2546.79000;2559.24000
17/09/2024;2583.70000;2586.91000;2560.78000;2574.03000
16/09/2024;2579.09000;2589.67000;2575.23000;2583.66000
13/09/2024;2558.42000;2586.05000;2556.80000;2578.48000
12/09/2024;2511.87000;2560.06000;2511.03000;2558.45000
11/09/2024;2518.61000;2528.99000;2500.81000;2511.86000
10/09/2024;2506.83000;2518.79000;2500.19000;2518.62000
09/09/2024;2496.93000;2507.63000;2465.38000;2506.55000
06/09/2024;2517.26000;2529.15000;2485.25000;2487.00000
05/09/2024;2495.82000;2523.51000;2493.78000;2517.23000
04/09/2024;2493.23000;2500.23000;2471.87000;2495.76000
03/09/2024;2497.22000;2506.28000;2473.20000;2493.28000
02/09/2024;2503.05000;2507.26000;2490.24000;2497.20000
30/08/2024;2519.61000;2526.85000;2494.09000;2503.12000
29/08/2024;2508.08000;2528.61000;2503.61000;2519.55000
28/08/2024;2525.28000;2525.84000;2493.64000;2508.07000
27/08/2024;2515.45000;2529.04000;2503.52000;2525.25000
26/08/2024;2516.19000;2526.81000;2508.95000;2515.46000
23/08/2024;2487.60000;2518.32000;2486.50000;2509.63000
22/08/2024;2512.86000;2514.64000;2471.01000;2487.57000
21/08/2024;2513.17000;2519.92000;2493.41000;2512.74000
20/08/2024;2503.68000;2531.70000;2497.29000;2513.00000
19/08/2024;2506.53000;2507.41000;2485.65000;2503.67000
16/08/2024;2457.33000;2509.65000;2450.76000;2507.82000
15/08/2024;2449.50000;2470.06000;2432.16000;2457.34000
14/08/2024;2464.17000;2479.74000;2438.06000;2449.41000
13/08/2024;2475.58000;2476.93000;2458.51000;2464.12000
12/08/2024;2428.02000;2475.73000;2423.79000;2475.56000
09/08/2024;2424.57000;2436.99000;2416.87000;2430.58000
08/08/2024;2384.78000;2428.06000;2383.38000;2424.55000
07/08/2024;2383.80000;2407.03000;2379.01000;2384.79000
06/08/2024;2404.84000;2418.32000;2381.46000;2383.83000
05/08/2024;2441.03000;2458.67000;2364.27000;2404.78000
02/08/2024;2445.86000;2477.64000;2410.77000;2442.80000
01/08/2024;2445.71000;2462.25000;2430.19000;2445.77000
31/07/2024;2409.90000;2451.00000;2403.93000;2445.74000
30/07/2024;2381.21000;2412.86000;2376.46000;2409.89000
29/07/2024;2397.04000;2402.61000;2369.65000;2381.12000
26/07/2024;2363.83000;2390.78000;2355.80000;2386.50000
25/07/2024;2398.73000;2400.02000;2353.08000;2363.77000
24/07/2024;2408.51000;2432.00000;2392.97000;2398.70000
23/07/2024;2395.70000;2412.01000;2388.23000;2408.50000
22/07/2024;2411.50000;2412.11000;2383.88000;2395.72000
19/07/2024;2441.20000;2441.29000;2393.73000;2395.00000
18/07/2024;2461.38000;2474.88000;2440.50000;2441.19000
17/07/2024;2468.20000;2483.68000;2451.46000;2461.35000
16/07/2024;2422.54000;2469.96000;2420.00000;2468.25000
15/07/2024;2408.72000;2439.77000;2401.33000;2422.53000
12/07/2024;2415.95000;2418.24000;2391.40000;2411.11000
11/07/2024;2372.86000;2424.54000;2371.48000;2415.91000
10/07/2024;2364.97000;2386.65000;2363.29000;2372.84000
09/07/2024;2361.78000;2371.41000;2349.30000;2365.00000
08/07/2024;2386.05000;2391.06000;2336.74000;2361.74000
05/07/2024;2356.79000;2392.95000;2347.51000;2390.77000
04/07/2024;2358.82000;2362.51000;2350.44000;2356.77000
03/07/2024;2330.23000;2364.93000;2326.88000;2358.80000
02/07/2024;2332.27000;2336.78000;2318.55000;2330.24000
01/07/2024;2324.90000;2338.48000;2318.48000;2332.29000
28/06/2024;2327.68000;2339.72000;2319.05000;2326.43000
27/06/2024;2298.37000;2330.94000;2296.50000;2327.61000
26/06/2024;2320.11000;2323.80000;2293.55000;2298.35000
25/06/2024;2330.96000;2337.05000;2315.50000;2320.01000
24/06/2024;2319.14000;2334.72000;2317.93000;2330.86000
21/06/2024;2360.81000;2368.69000;2316.68000;2321.96000
20/06/2024;2329.38000;2365.47000;2327.70000;2360.83000
19/06/2024;2328.36000;2334.94000;2323.69000;2329.36000
18/06/2024;2320.69000;2333.06000;2306.56000;2328.31000
17/06/2024;2328.78000;2328.93000;2310.02000;2320.70000
14/06/2024;2302.28000;2336.64000;2301.72000;2332.23000
13/06/2024;2320.61000;2326.63000;2295.59000;2302.26000
12/06/2024;2315.21000;2341.59000;2310.65000;2320.56000
11/06/2024;2309.94000;2319.99000;2297.69000;2315.12000
10/06/2024;2298.47000;2313.77000;2287.72000;2309.90000
07/06/2024;2376.62000;2387.70000;2286.73000;2293.00000
06/06/2024;2355.15000;2378.44000;2353.58000;2376.85000
05/06/2024;2353.50000;2357.67000;2351.34000;2355.05000
04/06/2024;2350.63000;2352.79000;2315.53000;2328.76000
03/06/2024;2325.95000;2354.70000;2314.71000;2350.61000
31/05/2024;2343.96000;2359.68000;2320.56000;2327.02000
30/05/2024;2338.33000;2351.83000;2322.62000;2343.95000
29/05/2024;2359.68000;2361.34000;2334.47000;2338.41000
28/05/2024;2352.46000;2364.11000;2340.25000;2359.79000
27/05/2024;2337.25000;2358.50000;2334.46000;2352.41000
24/05/2024;2331.96000;2347.40000;2325.50000;2333.40000
23/05/2024;2382.24000;2383.69000;2327.00000;2331.98000
22/05/2024;2421.73000;2426.55000;2375.00000;2382.20000
21/05/2024;2426.21000;2433.91000;2406.12000;2421.71000
20/05/2024;2420.33000;2450.05000;2407.04000;2426.17000
17/05/2024;2377.88000;2422.69000;2373.92000;2414.25000
16/05/2024;2391.89000;2397.43000;2371.02000;2377.80000
15/05/2024;2355.85000;2391.92000;2351.82000;2391.82000
14/05/2024;2338.38000;2359.61000;2334.80000;2355.81000
13/05/2024;2360.42000;2364.47000;2332.50000;2338.37000
10/05/2024;2346.70000;2378.43000;2345.98000;2359.75000
09/05/2024;2308.90000;2348.36000;2306.69000;2346.51000
08/05/2024;2315.21000;2321.44000;2301.17000;2308.81000
07/05/2024;2326.13000;2329.91000;2310.00000;2314.97000
06/05/2024;2293.92002;2331.96000;2291.76000;2325.98000
03/05/2024;2304.23000;2320.58000;2277.18000;2301.30000
02/05/2024;2323.85000;2326.45000;2285.47000;2304.19000
01/05/2024;2291.29000;2328.29000;2281.61000;2323.75000
30/04/2024;2333.12000;2336.18000;2285.07000;2291.35000
29/04/2024;2335.91000;2346.67000;2319.85000;2333.13000
26/04/2024;2330.64000;2352.47000;2326.28000;2337.68000
25/04/2024;2316.29000;2344.82000;2304.93000;2330.46000
24/04/2024;2323.28000;2337.26000;2311.75000;2316.19000
23/04/2024;2333.69000;2334.39000;2291.24000;2323.24000
22/04/2024;2386.51000;2386.51000;2324.79000;2333.75000
19/04/2024;2379.87000;2417.78000;2372.82000;2391.84000
18/04/2024;2367.86000;2392.80000;2364.03000;2379.89000
17/04/2024;2382.71000;2395.56000;2353.63000;2367.85000
16/04/2024;2384.01500;2387.06500;2372.80499;2377.24500
15/04/2024;2381.94999;2398.32000;2363.07000;2382.88500
12/04/2024;2377.07000;2431.46000;2333.81000;2343.12000
11/04/2024;2371.59000;2431.55499;2333.92999;2344.22500
10/04/2024;2332.32000;2377.79000;2325.89000;2372.90000
09/04/2024;2353.39500;2360.09499;2319.46500;2334.30499
08/04/2024;2338.81500;2365.37000;2336.96500;2353.04000
05/04/2024;2289.08000;2330.06000;2267.60327;2329.50000
04/04/2024;2298.82000;2305.04000;2279.89000;2289.42871
03/04/2024;2279.11060;2300.89000;2265.10000;2299.17017
02/04/2024;2250.08000;2280.89000;2246.47217;2280.09570
01/04/2024;2238.59000;2265.49000;2228.29000;2250.35571
28/03/2024;2193.72500;2234.99000;2187.06274;2232.37573
27/03/2024;2178.59888;2197.45000;2173.39000;2194.02500
