Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Business Confidence,1991-01-31T00:00:00,109.8,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1991-02-28T00:00:00,109.5,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1991-03-31T00:00:00,108.7,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1991-04-30T00:00:00,108.2,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1991-05-31T00:00:00,107,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1991-06-30T00:00:00,106.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1991-07-31T00:00:00,105.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1991-08-31T00:00:00,104.6,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1991-09-30T00:00:00,104.7,Monthly,GRIFPBUS,2017-11-24T11:20:00
Germany,Business Confidence,1991-10-31T00:00:00,105.4,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1991-11-30T00:00:00,105.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1991-12-31T00:00:00,104.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1992-01-31T00:00:00,102.6,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1992-02-29T00:00:00,101.7,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1992-03-31T00:00:00,101,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1992-04-30T00:00:00,100,Monthly,GRIFPBUS,2017-11-24T11:20:00
Germany,Business Confidence,1992-05-31T00:00:00,99.6,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1992-06-30T00:00:00,98.8,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1992-07-31T00:00:00,97.4,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1992-08-31T00:00:00,94.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1992-09-30T00:00:00,93.2,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1992-10-31T00:00:00,89.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1992-11-30T00:00:00,88,Monthly,GRIFPBUS,2017-11-24T11:20:00
Germany,Business Confidence,1992-12-31T00:00:00,89.3,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1993-01-31T00:00:00,88.5,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1993-02-28T00:00:00,86.7,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1993-03-31T00:00:00,88.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1993-04-30T00:00:00,88.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
