Date,si_x
2018-01-01,-0.081
2018-01-02,0.25
2018-01-03,0.0
2018-01-04,-0.043
2018-01-05,0.008
2018-01-06,-0.029
2018-01-07,-0.03
2018-01-08,-0.04
2018-01-17,-0.167
2018-01-18,-0.133
2018-01-19,-0.036
2018-01-20,-0.068
2018-01-21,0.0
2018-01-22,-0.038
2018-01-23,-0.091
2018-01-24,0.05
2018-01-25,-0.125
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,-0.125
2018-02-05,-0.15
2018-02-06,-0.071
2018-02-07,-0.182
2018-02-08,-0.143
2018-02-09,0.091
2018-02-10,0.0
2018-02-11,-0.059
2018-02-12,0.053
2018-02-13,-0.125
2018-02-14,0.0
2018-02-15,-0.15
2018-02-16,-0.188
2018-02-17,0.0
2018-02-18,-0.062
2018-02-19,-0.125
2018-02-20,-0.188
2018-02-21,0.0
2018-02-22,-0.125
2018-02-23,-0.056
2018-02-24,0.0
2018-02-25,0.1
2018-02-26,-0.125
2018-03-03,-0.15
2018-03-04,-0.1
2018-03-05,-0.125
2018-03-06,0.0
2018-03-07,-0.125
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,-0.125
2018-03-11,-0.375
2018-03-12,0.143
2018-03-13,0.05
2018-03-14,0.125
2018-03-15,-0.091
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,-0.105
2018-03-19,0.125
2018-03-20,0.056
2018-03-21,-0.1
2018-03-22,-0.375
2018-03-23,0.0
2018-03-24,-0.167
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,-0.25
2018-04-01,-0.25
2018-04-02,-0.13
2018-04-03,0.0
2018-04-04,-0.059
2018-04-05,0.0
2018-04-06,-0.105
2018-04-07,0.125
2018-04-08,-0.05
2018-04-09,-0.273
2018-04-10,0.125
2018-04-11,0.0
2018-04-12,-0.125
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.2
2018-04-22,0.0
2018-04-23,-0.25
2018-04-24,0.125
2018-04-25,0.0
2018-04-26,-0.062
2018-04-27,-0.25
2018-04-28,0.0
2018-04-29,-0.182
2018-04-30,0.0
2018-05-01,-0.2
2018-05-02,0.25
2018-05-03,-0.2
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,-0.056
2018-05-07,0.0
2018-05-08,-0.4
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,-0.053
2018-05-13,-0.182
2018-05-18,0.0
2018-05-19,-0.105
2018-05-20,-0.1
2018-05-21,0.053
2018-05-22,-0.125
2018-05-23,-0.125
2018-05-24,-0.056
2018-05-25,-0.1
2018-05-26,-0.273
2018-05-27,-0.091
2018-05-28,-0.15
2018-05-29,-0.125
2018-05-30,0.05
2018-05-31,-0.263
2018-06-01,0.0
2018-06-02,-0.308
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,-0.1
2018-06-06,-0.053
2018-06-07,-0.25
