model,features,auc,acc,f1,mode
LSTM,Sentiment,0.5086122294015674,0.7402489626556017,0.4253695755841679,MIN
LSTM, ,0.514654579578504,0.7402489626556017,0.4253695755841679,MIN
LSTM_AA,Sentiment,0.4961568217309703,0.7402489626556017,0.4253695755841679,MIN
LSTM_AA, ,0.5100592415364117,0.7402489626556017,0.4253695755841679,MIN
LSTM_DA,Sentiment,0.4902326680898007,0.7402489626556017,0.4253695755841679,MIN
LSTM_DA, ,0.4915507385492629,0.7402489626556017,0.4253695755841679,MIN
MLP,Sentiment,0.4989613031705324,0.7402489626556017,0.4253695755841679,MIN
MLP, ,0.501669078353558,0.7402489626556017,0.4253695755841679,MIN
LSTM,Sentiment,0.5204259626152123,0.7410788381742739,0.4256434699714013,MAX
LSTM, ,0.4945372842909237,0.7410788381742739,0.4256434699714013,MAX
LSTM_AA,Sentiment,0.511885534211962,0.7410788381742739,0.4256434699714013,MAX
LSTM_AA, ,0.5114315042926465,0.7410788381742739,0.4256434699714013,MAX
LSTM_DA,Sentiment,0.5080289717747725,0.7410788381742739,0.4256434699714013,MAX
LSTM_DA, ,0.5142956614121228,0.7410788381742739,0.4256434699714013,MAX
MLP,Sentiment,0.4901602923019497,0.7410788381742739,0.4256434699714013,MAX
MLP, ,0.4728012748729434,0.7410788381742739,0.4256434699714013,MAX
RF,Sentiment,0.5098781536998048,0.3806398687448728,0.3802645143869511,MAX
RF, ,0.5071974651493002,0.3978671041837572,0.3977207862143241,MAX
RF,Sentiment,0.5105059192015713,0.4339933993399339,0.4297949151240494,MIN
RF, ,0.5055953708127621,0.3886138613861386,0.3886134451779273,MIN
