model,features,rmse,mae,r2
LSTM,Sentiment,380.2654,302.80756,0.9481407999992372
LSTM, ,990.1842651367188,898.121337890625,0.6483713388442993
LSTM_AA,Sentiment,595.7780151367188,483.23931884765625,0.8729078769683838
LSTM_AA, ,502.421875,400.71575927734375,0.909617006778717
LSTM_DA,Sentiment,634.9224853515625,533.852294921875,0.8556585907936096
LSTM_DA, ,866.6334228515625,721.7567138671875,0.7310816645622253
MLP,Sentiment,430.6575317382813,335.2532043457031,0.933485507965088
MLP, ,779.8755493164062,585.3457641601562,0.781876266002655
RF,Sentiment,1670.7458230349052,1224.644485225401,0.00052871283546
RF, ,1671.5834113691008,1224.9263158138406,-0.0004736602608552
