trial,model,loss,acc,f1,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs,mode
0,LSTM,0.6910245418548584,0.532626427406199,0.3475252794039383,297,3,7,128,0.0068257538367227,145,UP/DOWN
1,LSTM,0.6993035078048706,0.5187601957585645,0.4926749483795672,223,2,7,256,0.0007369601920101,188,UP/DOWN
2,LSTM,0.6952917575836182,0.5288778877887789,0.361164881847461,208,3,21,128,0.0006850623963446,41,UP/DOWN
3,LSTM,0.6911144256591797,0.5319502074688797,0.347237269772481,281,3,28,128,0.0078183852520966,192,UP/DOWN
4,LSTM,0.7014930844306946,0.533003300330033,0.3759624481478786,206,1,21,128,0.0215718726178816,83,UP/DOWN
5,LSTM,0.6913471221923828,0.5321782178217822,0.3536303995108989,193,3,21,128,0.0010952868161421,77,UP/DOWN
6,LSTM,0.6908303499221802,0.532626427406199,0.3475252794039383,165,2,7,128,0.0056532598564543,110,UP/DOWN
7,LSTM,0.6967126131057739,0.5369294605809128,0.3808563535911602,180,3,28,256,0.0016691288366622,132,UP/DOWN
8,LSTM,0.6910962462425232,0.5321782178217822,0.3473344103392569,131,3,21,32,0.0036317489016265,160,UP/DOWN
9,LSTM,0.6919355392456055,0.532626427406199,0.3475252794039383,102,1,7,32,0.0967870134301406,181,UP/DOWN
10,LSTM,0.6958853602409363,0.5036615134255492,0.4952126370222737,57,2,4,64,0.0001345579079027,28,UP/DOWN
11,LSTM,0.6910632252693176,0.5324036095159967,0.3474304068522484,292,2,14,128,0.0146054277381929,126,UP/DOWN
12,LSTM,0.6921025514602661,0.532626427406199,0.3475252794039383,140,2,7,64,0.0421767342076498,113,UP/DOWN
13,LSTM,0.6932024359703064,0.5065252854812398,0.4467455378554107,261,2,7,128,0.0056553030437564,147,UP/DOWN
14,LSTM,0.690680205821991,0.532626427406199,0.3475252794039383,149,1,7,128,0.0110944280805051,88,UP/DOWN
15,LSTM,0.6903291940689087,0.527481542247744,0.3604267319589882,145,1,14,128,0.0191120672050475,85,UP/DOWN
16,LSTM,0.6925258040428162,0.527481542247744,0.3922599139990444,104,1,14,256,0.0296241329569841,69,UP/DOWN
17,LSTM,0.6911338567733765,0.5324036095159967,0.3474304068522484,54,1,14,64,0.0931292046202058,48,UP/DOWN
