trial,model,auc,acc,f1,n_estimators,max_depth,min_samples_split,min_samples_leaf,sequence_length,mode
0,RF,0.5167460169694391,0.4995931651749389,0.4726083743790806,282,17,8,4,4,UP/DOWN
1,RF,0.5112947841583105,0.4938974776240846,0.4655595266060382,429,9,9,4,4,UP/DOWN
2,RF,0.5107736598815993,0.505332239540607,0.5040492754620587,367,8,7,3,14,UP/DOWN
3,RF,0.5041075338577569,0.5036915504511895,0.5033493003406878,417,6,9,2,14,UP/DOWN
4,RF,0.5000267258912416,0.4836867862969005,0.4579794340918027,169,13,5,3,7,UP/DOWN
5,RF,0.4907253736957989,0.5087136929460581,0.4554071468269236,469,18,5,2,28,UP/DOWN
6,RF,0.5014935258021788,0.5209187858900738,0.4614746856126166,349,14,3,1,14,UP/DOWN
7,RF,0.5119504215761895,0.4947111472742067,0.467048080327309,460,13,7,4,4,UP/DOWN
8,RF,0.5051617873651771,0.5184577522559475,0.489569222626209,155,15,4,1,14,UP/DOWN
9,RF,0.4928635443290071,0.5012448132780083,0.4876907263606839,249,17,9,2,28,UP/DOWN
10,RF,0.5077560395389853,0.5099009900990099,0.5077563478432102,246,20,2,4,21,UP/DOWN
11,RF,0.5146008990078996,0.500406834825061,0.4833985070294486,285,11,7,4,4,UP/DOWN
12,RF,0.510011437082746,0.4947111472742067,0.4739772762517187,302,3,7,3,4,UP/DOWN
13,RF,0.5060683033220736,0.4890154597233523,0.4616687312375149,235,9,10,4,4,UP/DOWN
14,RF,0.5027289411389206,0.4890154597233523,0.4728837821742148,100,10,8,4,4,UP/DOWN
15,RF,0.5032485320804235,0.4893964110929853,0.4724076014177727,313,16,6,3,7,UP/DOWN
16,RF,0.5019974570362167,0.5099009900990099,0.4978180803571428,215,20,8,4,21,UP/DOWN
17,RF,0.5107561773545761,0.4938974776240846,0.4676289354779401,362,11,6,3,4,UP/DOWN
18,RF,0.4976101816634306,0.48413344182262,0.4684662191661209,308,7,10,4,4,UP/DOWN
19,RF,0.502808734739474,0.4865744507729861,0.4621302444102741,204,12,8,3,4,UP/DOWN
20,RF,0.5214183175423486,0.5255775577557755,0.5209594833043828,271,4,5,4,21,UP/DOWN
