trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
0,LSTM,1929.812744140625,1581.2198,-0.3356189727783203,246,2,7,32,0.0269160738444098,25
1,LSTM,865.2631225585938,718.31995,0.7294512987136841,61,1,21,128,0.0038859483413612,169
2,LSTM,3283.167724609375,2927.6077,-2.8952486515045166,178,2,21,32,0.0095952215708274,12
3,LSTM,595.1929321289062,463.20566,0.8729520440101624,173,2,7,256,0.0002039597239376,114
4,LSTM,1190.4140625,971.58685,0.48613041639328,125,1,28,64,0.0061094574973602,68
5,LSTM,1056.130126953125,798.5686,0.5988770723342896,236,2,14,64,0.0007122406056732,53
6,LSTM,1148.9822998046875,1008.92505,0.5273101329803467,267,2,4,64,0.0001038871064325,34
7,LSTM,1114.66943359375,900.6741,0.5494437217712402,68,3,28,32,0.0001034401050741,24
8,LSTM,3325.189697265625,2968.2776,-2.976266384124756,247,2,14,32,0.0399249226232099,116
9,LSTM,1088.9947509765625,889.3593,0.5746917724609375,227,2,7,128,0.0096078258437968,40
10,LSTM,1465.4505615234375,1140.5522,0.2298157811164856,162,3,7,256,0.0009841616617955,125
11,LSTM,498.3959045410156,391.41092,0.9102368950843812,55,1,21,256,0.0010843103569482,183
12,LSTM,457.6716003417969,341.56815,0.9243067502975464,300,1,21,256,0.0005153813752856,194
13,LSTM,428.48138427734375,344.4011,0.933654248714447,300,1,21,256,0.0008313063446633,198
14,LSTM,807.6430053710938,674.9218,0.764284610748291,297,1,21,256,0.0003820341094573,193
15,LSTM,445.2677307128906,354.89664,0.9283540844917296,300,1,21,256,0.0019335383512252,152
16,LSTM,523.3768310546875,404.04065,0.9019204378128052,210,1,4,256,0.0018296745216274,154
17,LSTM,570.7987670898438,472.87897,0.8822624087333679,279,1,21,256,0.0027265555069743,140
18,LSTM,479.6824645996094,376.31625,0.916851043701172,269,1,21,256,0.0019290672743009,86
19,LSTM,507.3989562988281,404.3166,0.9069646000862122,199,1,21,128,0.0002984305491882,164
20,LSTM,5496.54052734375,5238.2183,-9.817538261413574,117,3,4,256,0.0855003297522012,142
21,LSTM,716.7227783203125,612.9676,0.8143686056137085,300,1,21,256,0.0006834982859818,200
22,LSTM,658.5097045898438,561.4176,0.8432984352111816,281,1,21,256,0.000469492524226,180
23,LSTM,599.3580932617188,499.64587,0.870185911655426,266,1,21,256,0.0015921000075603,178
24,LSTM,603.6854858398438,478.29166,0.8683046102523804,289,1,21,256,0.0039549183281664,153
25,LSTM,645.399658203125,538.4254,0.8489522337913513,261,1,28,256,0.0002983144563039,195
26,LSTM,1394.76318359375,1011.74005,0.3004099726676941,216,1,14,256,0.0001784386547588,92
27,LSTM,1148.130126953125,1006.0815,0.5236443877220154,258,1,21,64,0.0006068534125591,167
28,LSTM,434.6246643066406,357.3351,0.9317381978034972,300,2,21,128,0.0011880599917453,138
29,LSTM,1126.6392822265625,903.64307,0.5413104295730591,241,3,21,128,0.0012154181686211,130
30,LSTM,4220.73779296875,3893.1895,-5.406479358673096,279,2,14,128,0.0126526742216595,96
31,LSTM,740.6397705078125,575.6306,0.8017728924751282,292,2,21,128,0.002788404114483,151
32,LSTM,587.0054321289062,485.71216,0.8754816651344299,299,1,21,128,0.0008890572114658,183
33,LSTM,746.7062377929688,613.76746,0.7985122799873352,249,2,21,32,0.001412381416882,163
34,LSTM,1016.2600708007812,823.36786,0.6267852783203125,279,2,21,128,0.0056742495276512,135
35,LSTM,449.3938293457031,365.34985,0.9275720119476318,300,1,7,256,0.0004779580666163,172
36,LSTM,307.83514404296875,233.18373,0.9660148620605468,143,1,7,32,0.0001941359785111,118
37,LSTM,1460.4921875,1194.8335,0.235018789768219,124,2,7,32,0.004348588708798,106
38,LSTM,705.4217529296875,555.4402,0.8215362429618835,147,3,7,32,0.0001887371178195,114
39,LSTM,343.1395568847656,270.73718,0.9573028683662416,101,1,28,32,0.000263221971707,78
40,LSTM,423.7958679199219,321.0751,0.9348716139793396,88,2,28,32,0.0001485789694692,74
41,LSTM,586.0813598632812,453.39792,0.8754416704177856,87,2,28,32,0.0001411233427082,73
42,LSTM,599.0325927734375,477.90665,0.8698759078979492,103,2,28,32,0.0002647376190817,57
43,LSTM,625.2380981445312,510.2194,0.8582419157028198,79,2,28,32,0.0001297943103163,81
44,LSTM,488.8013000488281,378.2694,0.9133594036102296,145,2,28,32,0.0002162150957634,64
45,LSTM,1319.757080078125,1045.392,0.3683961033821106,100,3,28,32,0.0003276088683702,46
46,LSTM,810.7364501953125,712.7195,0.7616493701934814,136,1,28,32,0.0001315772109616,100
47,LSTM,812.939208984375,685.4857,0.7629890441894531,174,2,7,32,0.0007693606598428,73
48,LSTM,994.2490234375,813.1925,0.6460516452789307,71,2,4,64,0.000219290409555,122
49,LSTM,956.5075073242188,754.4461,0.6682326793670654,187,1,28,32,0.0003690788390464,84
50,LSTM,918.803955078125,803.1759,0.6972403526306152,162,1,7,32,0.0001006548969642,18
51,LSTM,363.8734436035156,287.3944,0.9519871473312378,104,1,28,64,0.0025675446917089,109
