trial,model,rmse,mae,r2,n_estimators,max_depth,min_samples_split,min_samples_leaf,sequence_length
0,RF,-1671.2515356369884,1224.533417602314,-7.643214129537945e-05,327,10,8,4,4
1,RF,-1674.9735283342325,1228.641474291164,-0.006162516355620262,327,13,10,4,7
2,RF,-1678.7159195441338,1231.1453163986296,-0.009029752204558372,185,10,4,3,4
3,RF,-1916.3027959659364,1458.506362362696,-0.32059868767011857,436,4,3,4,14
4,RF,-1721.3078525257781,1275.8884847508657,-0.07441950263836827,230,20,9,3,28
5,RF,-1710.6262832682835,1263.9014421809327,-0.057448672449096794,225,14,7,1,21
6,RF,-1687.6476366747659,1239.7351341268609,-0.02144688824082741,450,9,6,1,7
7,RF,-1917.460162012711,1463.0323164805939,-0.3286228413868766,359,4,9,2,21
8,RF,-1678.9745742837029,1232.3150540350316,-0.010975142387265935,461,9,3,4,7
9,RF,-1692.1021381308437,1246.0294206112535,-0.02966450856671554,163,17,10,3,14
10,RF,-1679.6542113492612,1231.815516351259,-0.01015802998652604,288,7,6,2,4
11,RF,-1668.5106779383493,1222.3889432762526,0.0032011349400423716,342,13,8,4,4
12,RF,-1671.2586888493465,1224.4780017698433,-8.499311999976555e-05,387,15,8,4,4
13,RF,-1670.838402962575,1224.730073552807,0.00041794369047520874,277,12,7,4,4
14,RF,-1663.1234367732945,1217.5495142728141,0.009627616595661359,104,16,5,3,4
15,RF,-1719.8700458238065,1274.5259646023208,-0.07262532924717324,107,17,5,3,28
16,RF,-1681.1226793114529,1233.3167986234105,-0.011925099817521323,393,20,5,2,4
17,RF,-1677.9440577319417,1230.805580622377,-0.008102075909376616,113,16,2,3,4
18,RF,-1672.6921712846117,1226.1450245049675,-0.0018013271632943972,233,18,5,3,4
19,RF,-1709.3317842750496,1263.1232237473478,-0.05584885100652692,494,14,7,2,21
20,RF,-1728.8573819444805,1283.4232486584083,-0.08386482010268681,169,7,4,4,28
21,RF,-1671.3145491381715,1225.0193961128336,-0.00015184808453239107,277,12,7,4,4
22,RF,-1670.0189174375246,1223.7933648944165,0.0013982205919980117,264,12,8,4,4
23,RF,-1674.4473832650967,1227.4358959481633,-0.0039048776933217066,324,15,8,3,4
24,RF,-1669.3501363764158,1223.153414539489,0.002197866903584922,143,11,9,4,4
25,RF,-1681.9556420229176,1237.295295863355,-0.017353001930963785,130,18,9,3,14
26,RF,-1668.8752668575266,1222.532144947377,0.002765463138123647,147,7,10,4,4
27,RF,-1665.1627537919348,1218.337259138029,0.007197344162012342,192,6,10,4,4
28,RF,-2190.8212824155726,1741.605479874841,-0.7185550822344631,195,3,6,3,4
29,RF,-1665.7052312757673,1219.117792951298,0.006550367386021105,355,6,10,4,4
30,RF,-1671.6967139447984,1225.1109830119635,-0.0022295792373621115,205,6,10,2,7
31,RF,-1760.2822089437132,1301.2777257171476,-0.10946639777650802,360,5,9,4,4
32,RF,-1668.886834759573,1222.7476485084694,0.0027516383165211433,344,9,10,4,4
33,RF,-1667.2597208212335,1221.48734261776,0.004695264049273784,316,10,10,4,4
34,RF,-1669.8551508114126,1223.6640209234404,0.0015940622367373036,254,10,10,4,4
35,RF,-1726.9604624274111,1280.649547908286,-0.08148767041020655,310,8,4,4,28
36,RF,-1763.4361223741266,1307.4840537181847,-0.11830961836915588,388,5,9,3,14
37,RF,-2207.644005748045,1763.2602710174576,-0.7611936059132676,303,3,10,4,21
38,RF,-1669.5229499478767,1223.2183359955075,0.0003751924262812567,405,6,9,3,7
39,RF,-1673.2069550551146,1226.201036121229,-0.002418046043615618,210,10,4,1,4
40,RF,-1762.0089725368325,1302.779296219488,-0.11164414612503015,246,5,10,3,4
41,RF,-1673.9726160439159,1227.0859724675386,-0.0033356707249889705,348,14,8,4,4
42,RF,-1674.5663050186042,1227.7632678749187,-0.004047480404035353,326,13,9,4,4
43,RF,-1669.9964630520244,1223.7932498417715,0.0014250739866952244,371,11,8,4,4
44,RF,-1712.4325683766087,1265.3298011328623,-0.059683014620605546,335,8,10,4,21
45,RF,-1688.4456156802833,1242.7073737214237,-0.025219240923767927,301,13,9,4,14
46,RF,-1674.722338965433,1227.6623628935974,-0.004234600841902303,185,8,6,4,4
47,RF,-1676.4841090536984,1230.1119224020865,-0.007978157058051494,424,16,5,4,7
48,RF,-1906.8046654010755,1447.282383120249,-0.3018530528322567,361,4,7,3,4
49,RF,-1719.9045027891914,1274.8467405504762,-0.07266830898760746,413,19,10,4,28
50,RF,-1673.980395098771,1226.9335242965924,-0.0033449958731797125,319,9,8,2,4
51,RF,-1674.0537091723625,1226.9645929950902,-0.003432883305901857,147,7,10,4,4
52,RF,-1669.020243588245,1221.9280396444303,0.002592194247989621,120,6,10,4,4
53,RF,-1667.0059277453777,1220.9335032099527,0.004998254904853172,104,7,9,4,4
54,RF,-1665.6670398351112,1219.1122041118242,0.006595922670372678,169,6,9,4,4
55,RF,-1670.5429565802444,1222.9776934854121,0.0007714150873329162,102,6,9,4,4
56,RF,-1757.0678784573922,1298.6827499984167,-0.10541825633766355,164,5,9,4,4
57,RF,-1917.8927772027876,1463.6450470381678,-0.32922243378033,133,4,10,3,21
